ID,TEXT,LABEL
1,"budget suna, bank balance ne silent mode on kar liya.",1
2,middle class ka pata nahi but government ko budget seh badaa relief mila,1
3,tax slab dekha aur sapno ka slab crack hota gaya,1
4,bugdet itna balanced tha ki aam admi ka downfall ho gaya,1
5,"salary aati hai, tax le jaata hai, so nice!!!",1
6,"pata nahi nirmala sitaraman ki ""growth"" ka matlab shayad ""goodbye"" hai..",1
7,"budget 2026: expectations 100, reality 10!!",1
8,middle class ko hamesha last seen peh chor deti hai government!,1
9,tax itna creative hai ki artists bhi sharma jayeeee,1
10,budget dekh ke laga ki emis hi meri family hai!!,1
11,middle class drowning aur government shinning..,1
12,"lag raha aab motivation to live bhi taxable hai, after budget came..",1
13,"salary hike ka sapna, tax cut ka nightmare.",1
14,budget sunte hi calculator crashed….,1
15,middle class ka role budget mein cameo jaisa tha…hahahaha!!!,1
16,tax slab itna zayada high hai ki oxygen ki kami ho gai hai,1
17,"budget ka ""long term benefit"" pata nahiii kab ayega!!??",1
18,middle class budget mai bas 1 example banke reh gai,1
19,"budget 2026: rich richer, poor poorer, middle class-kahi nahi!!!",1
20,tax bharo tabhi deshbhakti dikhegi government ko middle class ki,1
21,budget ke baad wallet ne resignation de diya,1
22,government ne kaha inclusive growth par invite nahi kiya….....,1
23,middle class ka patience renewable resource hai shayad,1
24,salary ko chor ke sab badh gaya budget mai,1
25,tax itna hai ki cashback bhi nahi mil raha,1
26,budget presentation dekh ke popcorn hi affordable lag raha aab,1
27,"middle class: na subsidy, na sympathy!!!",1
28,government thought so much about us ki har cheez costly ker diya,1
29,"budget stable, middle class unstable!!!!",1
30,budget ke baad savings bhi started flying away,1
31,"we wanted to be ""future ready"", government made us ""emi ready""…hahahah!!!",1
32,pata nahi budget wali opportunity hame dikh kyu nahi rahi,1
33,tax slab aisa hai jaise punishment system.,1
34,budget dekh ke financial planning ne chutti le li..,1
35,middle class ka contribution sirf tax aur silance hai iss desh main,1
36,budget 2026: hope sold separately,1
37,tax clear kerte kerte kisi din mein clear ho jaungi,1
38,aab toh 1 din full day ac is also a luxury!,1
39,middle class ki yaad nirmala madam ko sirf speech mai aai,1
40,budget sun ke laga financial freedom sirf reel peh hoti hai,1
41,governemnt ka har saal ka budget itna acha hota hai ki middle class depress ho jati hai,1
42,budget 2026: dreams postponed successfully!!,1
43,"governemnt ne kaha ""support"" bas emotional was silent!!!",1
44,middle class ki halat dekh ke budget bhi awkward ho gaya…,1
45,budget ki kripaa seh salary account mai atee hi udd jati hai,1
46,"budget ke baad ""saving"" sirf whatsapp status hai.",1
47,middle class ko aab daughter-in-law ke jaise bas adjust kerna padta hai,1
48,middle class ka superpower hai adjust kerna,1
49,tax banna aab hobby ban chuka hai,1
50,budget 2026 ne confirm ker diya ki 2026 mai duniya ka the end hone wala hai..,1
51,budget 2026 mein infrastructure and growth pe achaa focus dikh raha,0
52,government ne long-term economic stability ko priority di hai,0
53,"middle class ko direct relief kam mila, but fiscal discipline zaroor important hai.",0
54,lag raha budget sustainable development goals ko dhyaan mein rakh ke banaya gaya hai,0
55,"tax structure complex hai, par revenue generation ke liye zaroori hoga",0
56,budget mai msmes aur startups ke liye support positive step hai,0
57,education aur skill development allocations future ke liye helpful hoga,0
58,healthcare spending badhana was an important decision,0
59,budget ka focus capital expenditure peh zayada hai…,0
60,long-term growth ke liye infrastructure investment important role play karega,0
61,"middle class ke liye expectations zyada thi, relief limited raha",0
62,budget overall economic balance maintain kerne ki koshish karta hai,0
63,fiscal deficit control karna economy ke liye important hai,0
64,budget mai digital economy aur technology par focus dikha,0
65,rural development ke liye kiye gaye provisions useful ho sakte hain…,0
66,budget ke measures gradually impact dikhayenge,0
67,employment generation pe aur clarity hoti toh better hota,0
68,budget growth-oriented hai. but short-term relief kam hai.,0
69,government ne inverstment-led growth approach follow ki hai,0
70,tax reform ka impact time ke sath clear hoga,0
71,budget presentation structured aur data-driven thi,0
72,social sector spending ko maintain karn positive sign hai,0
73,middle class ke concerns ko future budgets mein address kiya ja sakta hai,0
74,budget economic stability ko dhyaan mai rakh ke banaya gaya hai.,0
75,inflation control ke perspective seh cautious approach dikh rahi hai.,0
76,budget main manufacturing aur production ko boost kerne ke steps hein.,0
77,overall budget reform-oriented laga.,0
78,government ne growth and discipline ke beech balance banane ki koshish ki hai.,0
79,budget ka impact different income groups pas alag alag padega.,0
80,tax policy consistency investors ke liye important signal hai.,0
81,budget 2026 long-term vision ko reflect karta hai..,0
82,public investment se private invesment ko encourage kiya ja raha hai.,0
83,budget mai welfare schemes ka continuation stability deta hai.,0
84,short-term consumption boost par kam focus hai.,0
85,budget overall economy ko stable rakhne par zayada focus kar rahi…,0
86,middle class ko indirect benefits mil sakte hain time ke saath.,0
87,budget announcements practical constraints ko dhyaan mein rakhte hain.,0
88,economic growth le liye capital spending zaoori hoti hai.,0
89,budget ka approach is looking measured and cautious.,0
90,government ne policy continuity maintain rakhi hai.,0
91,budget reforms ka real impact implementation par depend kerta hai,0
92,growth targets ambitious hai but looks achievable too.,0
93,budget mai structural reforms ko priority di gai hai,0
94,middle class le liye direct tax relief limited hai,0
95,budget overall macroeconomic stability ko support karta hai.,0
96,employment and income growth par future focus is important.,0
97,budget economy ke long-term health ko target karta hai..,0
98,short-term disappointment ke bawajood long-term outlook is stable.,0
99,budget 2026 continuity and reform ka mixture hai.,0
100,"overall, budget growth-centric aur fiscally responsible hai.",0
101,budget announce hua aur market ne seedha bungee jump le liya,1
102,"nirmala ji bol rahi thi, sensex already gir chuka tha",1
103,budget sunte hi market ne bola: i'm out.,1
104,"investor sooch raha tha profit, market ne diya reality check.",1
105,budget ke saath saath portfolio bhi present ho gaya-minus mein.,1
106,market reaction inta fast tha ki internet bhi peeche reh gaya.,1
107,budget day ya black friday? samajh nahi aaya,1
108,sensex ka mood swing budget speech she zyada dramatic tha.,1
109,"budget shuru, shares ne emergency exit le li.",1
110,market ne budget ko personally le liya shayad.,1
111,"budget sunte hi portfolio ne ""delete app"" kar diya.",1
112,"nirmala ji tax bata rahi thi, market already punish ker raha tha.",1
113,investor long term aur market long jump…,1
114,"budget speech chal rahi thi, stocks already faint ho gaya!!!",1
115,market said: ye toh expected tha hi nahi!!!,1
116,budget ke baad sensex bhi middle class ban gaya.,1
117,market crash dekh ke laga gravity free ho gai hai..,1
118,budget ne kaha growth aur market ke sunaaa drop,1
119,portfolio itna laal tha jaise shadi ka lehenga,1
120,"budget day peh sirf hopes nahi, stocks bhi toot gaye.",1
121,"market reaction: zero patience, full emotion…",1
122,budget announce hote hi shares ne lunch break le li,1
123,investor ne kaha hold toh market ne bhi keh diya forget it..,1
124,budget sun ke market ko anxiety ho gai.,1
125,sensex ka graph dekh ke heart rate badh gaya….........,1
126,"budget ke baad ""buy the dip"" bhi dare hue the.",1
127,market said speech was good but main jaa raha hoon.,1
128,budget sun ke bulls bhi vegetarian ho gaye.,1
129,portfolio ka confidence budget ke saath hi gir gaya.,1
130,market crash itna smooth the jaise it was planned.,1
131,budget day peh sirf chai hi nahi stocks bhi girte hai..,1
132,"investor: strong fundamentals, market: strong gravity.",1
133,"budget ke kaha reform, market ne kiya transform-neeche.",1
134,speech sunke portfolio silent ho gai.,1
135,market reaction dekh ke laga rehearsal nahi hui thi.,1
136,"budget ke baad stocks ne ""mental health break"" le liya.",1
137,sensex ka fall dekh ke newton proud hota.,1
138,budget speech ke highlights she zayada lows dikhe.,1
139,market ne bola expectations high thi but tolerence low.,1
140,budget sunte hi portfolio ne sad reel bana li.,1
141,market crash ne budget ko viral ker diya.,1
142,"budget ke baad ""long-term investors"" bhi short ho gaye.",1
143,market reaction itna instant tha jaise spoiler mil gaya ho.,1
144,budget day pe sirf investors bhi test hue.,1
145,sensex ka reaction dekh ke laga alarm nahi laga tha..,1
146,budget speech ke baad portfolio ko therapy chahiye.,1
147,market said ye risk disclosure mein likha hona chahiye.,1
148,budget ke saath saath patience bhi sell ho gaya.,1
149,market crash ne pura mood chart red kar diya.,1
150,budget day recap is speech upar and market neeche…,1
151,budget announcement ke baad market main short-term volatility dekhne ko mili.,0
152,stock market ka reaction expectations aur policy clarity par depend kerta hai.,0
153,budget ke kuch measures se investors cautious ho agye hain.,0
154,market fall profit booking aur uncertainty ka result ho sakta hai.,0
155,budget day par volatility ek common phenomenon hota hai.,0
156,investors ab budget provisions ko detail mein analyse kar rahe hai.,0
157,"market reaction immediate hota hai, long-term impact baad main clear hota hai.",0
158,policy changes ka effect stocks par gradual dikhega.,0
159,budget ke baad market ne mixed response diya hai.,0
160,short-term correction long-term investors ke liye opportunity ho sakti hai.,0
161,budget mein kuch sectors ke liye concerns raise hue hain.,0
162,market movement expectations ke mismatch ki wajah se hua.,0
163,investors ab clarity aur guidance ka wait kar rahe hain.,0
164,budget speech ke baad sentiment thoda weak dikha.,0
165,global factors ke saath domestic policies ka bhi role hai.,0
166,market reaction se pata chalta hai ki expectations kaafi high thi.,0
167,budget ke baad selective stocks par pressure aaya.,0
168,volatility ka matlab hamesha negative outlook nahi hota.,0
169,investors cautious approach adopt kar rahe hain.,0
170,market fall ka reason sentiment-driven bhi ho sakta hai.,0
171,budget ke immediate baad market usually adjust karta hai.,0
172,long-term fundamentals abhi bhi important rahenge.,0
173,budget ke measures ka real impact implementation par depend karega.,0
174,short-term traders aur long-term investors ka reaction alang hota hai.,0
175,market correction healthy bhi ho sakti hai…,0
176,budget ke baad risk appetite thoda kam hua hai.,0
177,investors earnings aur growth outlook par focus kar rahe hain.,0
178,market ka reaction data aur policy interpretation par based hai.,0
179,budget announcement ke baad uncertainity normal hoti hai.,0
180,stock market ne cautious response diya hai.,0
181,budget ke baad kuch sectors ko clarity ka wait hai.,0
